Seq,bb86_Maj_pc,bb86_Min_pc,bb86_PA_astro_deg,bb86_v_center_kms,joint_Maj_pc,joint_Min_pc,joint_PA_astro_deg,joint_v_center_kms,joint_status,joint_pa_mode,joint_nch_used,joint_source_status,cg2d_Maj_pc,cg2d_Min_pc,cg2d_PA_astro_deg,cg2d_v_center_kms,cg2d_source_status,Maj_pc,Min_pc,PA_astro_deg,v_center_kms,geometry_source,axes_swapped_for_hist,axis_ratio,geom_mean_size_pc,area_ellipse_pc2,PA_mod_180_deg
49,140.0,240.0,0.0,-354.3,245.03766215116423,142.9386124317437,0.0,-354.3,refit_recommended,pa-90,2,joint_contrast_refit,287.62589807997216,167.78174591635943,,-354.3,CumulativeGrowth2D,287.62589807997216,167.78174591635943,0.0,-354.3,CumulativeGrowth2D,False,0.5833332361111273,219.67788999036426,37902.03936892052,0.0
50,0.0,60.0,90.0,-383.1,140.45828853967348,140.45828853967348,-50.0,-383.1,refit_recommended,pa-90,2,joint_contrast_refit,199.7672954469891,195.7719495380493,,-383.1,CumulativeGrowth2D,199.7672954469891,195.7719495380493,-50.0,-383.1,CumulativeGrowth2D,False,0.98,197.7595329778075,30716.005519397597,130.0
51,220.0,340.0,0.0,-308.9,354.66666666666663,229.49012858133472,5.0,-308.9,refit_recommended,pa-90,2,joint_contrast_refit,416.3087323943661,269.37615937983713,,-308.9,CumulativeGrowth2D,416.3087323943661,269.37615937983713,5.0,-308.9,CumulativeGrowth2D,False,0.6470586332180492,334.87855626881026,88077.41474288634,5.0
52,460.0,600.0,40.0,-337.8,600.0,459.9999386666749,45.0,-337.8,refit_recommended,pa-90,2,joint_contrast_refit,600.0,459.9999386666749,,-337.8,CumulativeGrowth2D,600.0,459.9999386666749,45.0,-337.8,CumulativeGrowth2D,False,0.7666665644444581,525.35698643875,216769.86419504718,45.0
53,140.0,200.0,0.0,-313.0,205.08130867875215,143.55695914221425,35.0,-313.0,refit_recommended,pa-90,2,joint_contrast_refit,240.72501782094653,168.50756302693145,,-313.0,CumulativeGrowth2D,240.72501782094653,168.50756302693145,35.0,-313.0,CumulativeGrowth2D,False,0.7000002100000629,201.4050300082457,31858.88019293319,35.0
54,480.0,900.0,51.0,-341.9,797.3333333333334,708.6834161266363,76.0,-341.9,refit_recommended,pa-90,2,joint_contrast_refit,797.3333333333334,708.6834161266363,,-341.9,CumulativeGrowth2D,797.3333333333334,708.6834161266363,76.0,-341.9,CumulativeGrowth2D,False,0.8888169934698615,751.70267423916,443794.65968898893,76.0
55,140.0,200.0,0.0,-292.4,261.638859026449,183.1472562626912,-40.0,-292.4,refit_recommended,pa-90,2,joint_contrast_refit,312.5294596342696,218.7706873751949,,-292.4,CumulativeGrowth2D,312.5294596342696,218.7706873751949,-40.0,-292.4,CumulativeGrowth2D,False,0.700000210000063,261.48094521243297,53699.466837883214,140.0
56,80.0,120.0,90.0,-329.5,175.7479753454189,117.16531689694592,-15.0,-329.5,refit_recommended,pa-90,2,joint_contrast_refit,195.37729146498464,130.2515276433231,,-329.5,CumulativeGrowth2D,195.37729146498464,130.2515276433231,-15.0,-329.5,CumulativeGrowth2D,False,0.6666666666666667,159.52489047207976,19986.96222196141,165.0
57,120.0,220.0,63.0,-296.6,260.32734895690965,192.26454606324464,18.0,-296.6,refit_recommended,pa-90,2,joint_contrast_refit,343.30210820895,253.5454851817126,,-296.6,CumulativeGrowth2D,343.30210820895,253.5454851817126,18.0,-296.6,CumulativeGrowth2D,False,0.7385491644793301,295.02999777945126,68363.17639494,18.0
58,80.0,220.0,122.0,-292.4,308.24005590173374,112.0872930551759,-58.0,-292.4,refit_recommended,pa-90,2,joint_contrast_refit,304.37620167986694,171.55749549228867,,-292.4,CumulativeGrowth2D,304.37620167986694,171.55749549228867,-58.0,-292.4,CumulativeGrowth2D,False,0.5636363636363637,228.5126229503607,41011.93609920057,122.0
59,120.0,160.0,0.0,-329.5,210.3709954844976,157.7782860579447,0.0,-329.5,refit_recommended,pa-90,2,joint_contrast_refit,260.0007725882347,195.00062819133308,,-329.5,CumulativeGrowth2D,260.0007725882347,195.00062819133308,0.0,-329.5,CumulativeGrowth2D,False,0.7500001875000468,225.1673022109065,39819.93348744403,0.0
60,460.0,480.0,90.0,-296.6,480.0,460.0001150000288,-90.0,-305.5799501299175,refit_recommended,pa-90,2,joint_contrast_refit,712.4957746478874,682.8086214063808,,-305.5799501299175,CumulativeGrowth2D,712.4957746478874,682.8086214063808,-90.0,-305.5799501299175,CumulativeGrowth2D,False,0.9583335729167266,697.4942706898712,382094.838050595,90.0
61,240.0,380.0,0.0,-280.1,380.0,240.0000505263264,-30.0,-280.1,refit_recommended,pa-90,2,joint_contrast_refit,571.9267605633802,361.2169774541301,,-280.1,CumulativeGrowth2D,571.9267605633802,361.2169774541301,-30.0,-280.1,CumulativeGrowth2D,False,0.6315790803324379,454.52134798690827,162255.13622325275,150.0
62,600.0,620.0,90.0,-300.7,620.0,600.0001935484495,-90.0,-297.3323465358115,refit_recommended,pa-90,2,joint_contrast_refit,753.4309859154929,729.1269957656369,,-297.3323465358115,CumulativeGrowth2D,753.4309859154929,729.1269957656369,-90.0,-297.3323465358115,CumulativeGrowth2D,False,0.9677422476587896,741.1793786104045,431456.02376932994,90.0
63,360.0,580.0,138.0,-284.2,580.0,360.00002482758794,13.0,-284.2,refit_recommended,pa-90,2,joint_contrast_refit,716.830985915493,444.9296081495893,,-284.2,CumulativeGrowth2D,716.830985915493,444.9296081495893,13.0,-284.2,CumulativeGrowth2D,False,0.6206896979785999,564.7471378173279,250494.3637602807,13.0
64,100.0,200.0,100.0,-271.8,227.7043288178309,113.85216440891546,20.0,-271.8,refit_recommended,pa-90,2,joint_contrast_refit,271.9944243245104,135.99721216225518,,-271.8,CumulativeGrowth2D,271.9944243245104,135.99721216225518,20.0,-271.8,CumulativeGrowth2D,False,0.4999999999999999,192.32910188479252,29052.257750528024,20.0
65,140.0,240.0,0.0,-275.9,257.68250555403694,150.3147698540599,0.0,-275.9,refit_recommended,pa-90,2,joint_contrast_refit,302.46845088554136,176.4399002765824,,-275.9,CumulativeGrowth2D,302.46845088554136,176.4399002765824,0.0,-275.9,CumulativeGrowth2D,False,0.5833332361111272,231.0140760019988,41914.739085611625,0.0
66,500.0,540.0,0.0,-271.8,540.0,500.0,0.0,-271.8,keep_base_geometry,pa-90,2,joint_contrast_refit,622.6732394366197,576.5492957746478,,-271.8,CumulativeGrowth2D,622.6732394366197,576.5492957746478,0.0,-271.8,CumulativeGrowth2D,False,0.9259259259259258,599.1676040098478,281959.3682739214,0.0
67,100.0,220.0,56.0,-255.3,368.1309395827639,167.33224526489266,51.0,-255.3,refit_recommended,pa-90,2,joint_contrast_refit,439.7349998030169,198.54701506257427,,-255.3,CumulativeGrowth2D,439.7349998030169,198.54701506257427,51.0,-255.3,CumulativeGrowth2D,False,0.4515151515151515,295.47939290148594,68571.59910752771,51.0
68,200.0,260.0,0.0,-263.6,253.7043288178309,195.15717601371608,15.0,-263.6,refit_recommended,pa-90,2,joint_contrast_refit,292.5461042298002,225.035464792154,,-263.6,CumulativeGrowth2D,292.5461042298002,225.035464792154,15.0,-263.6,CumulativeGrowth2D,False,0.7692307692307692,256.5799067317763,51705.31249261545,15.0
69,1000.0,1400.0,39.0,-263.6,1400.0,1000.0,39.0,-263.6,refit_recommended,pa-90,2,joint_contrast_refit,1498.3943661971828,1070.281690140845,,-263.6,CumulativeGrowth2D,1498.3943661971828,1070.281690140845,39.0,-263.6,CumulativeGrowth2D,False,0.7142857142857144,1266.374373852788,1259546.2192345087,39.0
70,80.0,160.0,0.0,-214.1,210.3709954844976,105.1854977422488,-25.0,-206.6087070006455,refit_recommended,pa-90,2,joint_contrast_refit,238.2229300979381,119.11146504896904,,-206.6087070006455,CumulativeGrowth2D,238.2229300979381,119.11146504896904,-25.0,-206.6087070006455,CumulativeGrowth2D,False,0.49999999999999994,168.4490493063809,22285.737455731978,155.0
71,380.0,600.0,0.0,-247.1,600.0,380.0000886666873,-5.0,-243.7229231741225,refit_recommended,pa-90,2,joint_contrast_refit,890.6197183098592,564.059286543411,,-243.7229231741225,CumulativeGrowth2D,890.6197183098592,564.059286543411,-5.0,-243.7229231741225,CumulativeGrowth2D,False,0.6333334811111455,708.7752273403415,394554.4457589444,175.0
72,40.0,240.0,70.0,-218.2,219.7479753454189,36.62466255756981,-75.0,-214.8563105947515,refit_recommended,pa-90,2,joint_contrast_refit,262.490504071056,96.2465181593872,,-214.8563105947515,CumulativeGrowth2D,262.490504071056,96.2465181593872,-75.0,-214.8563105947515,CumulativeGrowth2D,False,0.3666666666666666,158.94589351959235,19842.139816664687,105.0
73,0.0,0.0,0.0,-226.5,190.89475381555297,113.50668828776963,20.0,-226.5,refit_recommended,pa-90,2,joint_contrast_refit,212.2158157557971,126.18426628948812,,-226.5,CumulativeGrowth2D,212.2158157557971,126.18426628948812,20.0,-226.5,CumulativeGrowth2D,False,0.5946034975766934,163.64075594475372,21031.62528755766,20.0
74,100.0,120.0,90.0,-218.2,210.32734895690965,175.2727907974247,35.0,-218.2,refit_recommended,pa-90,2,joint_contrast_refit,233.8188401854772,229.1424633817676,,-218.2,CumulativeGrowth2D,233.8188401854772,229.1424633817676,35.0,-218.2,CumulativeGrowth2D,False,0.9799999999999998,231.46884245005435,42079.92537359685,35.0
75,80.0,260.0,70.0,-234.7,333.57338923506705,102.63796591848217,70.0,-227.2277159859105,refit_recommended,pa-90,2,joint_contrast_refit,350.1111121943267,177.74871849865815,,-227.2277159859105,CumulativeGrowth2D,350.1111121943267,177.74871849865815,70.0,-227.2277159859105,CumulativeGrowth2D,False,0.5076923076923076,249.46302636800007,48876.742622399375,70.0
