Seq,label,Maj_pc,Min_pc,q_ba,PA_deg,v_center_kms,RA_deg,Dec_deg
254,CAP30_POSTPV_0451,571.3199999999999,514.188,0.9000000000000001,-45.0,-445.7892112297195,10.41892351816871,40.71165502073825
255,CAP30_POSTPV_0454,420.0,420.0,1.0,-90.0,-540.6366525619385,10.276119415810404,40.84151876370255
256,CAP30_POSTPV_0455,579.5999999999999,463.68,0.8000000000000002,30.0,-326.1989591151825,10.877524501957508,41.20667246052
257,CAP30_POSTPV_0458,420.0,378.0,0.9,-90.0,-173.6182926242215,11.22890258737556,41.52347499806315
258,CAP30_POSTPV_0459,420.0,420.0,1.0,-90.0,-173.6182926242215,10.813558347824054,41.62773655888
259,CAP30_POSTPV_0462,483.0,483.0,1.0,-90.0,-330.3227609122355,10.212531610768115,41.28656313342154
260,CAP30_POSTPV_0463,600.0,600.0,1.0,65.0,-511.7700399825675,9.408963679406526,39.94439355340946
261,CAP30_POSTPV_0467,504.0,352.79999999999995,0.7,5.0,-280.83713934759953,10.516977975179216,41.56657450157481
262,CAP30_POSTPV_0469,478.5,478.5,1.0,-90.0,-334.4465627092885,10.910534934071624,41.14300122366748
263,CAP30_POSTPV_0470,504.0,453.6,0.9,-45.0,-264.3419321593875,10.466109297536212,41.62274091997721
264,CAP30_POSTPV_0473,336.0,336.0,1.0,-90.0,-161.2468872330625,11.05874692835548,41.96458522987482
265,CAP30_POSTPV_0477,496.8,447.12,0.9,-90.0,-136.5040764507445,11.291531171496148,42.12501578697258
266,CAP30_POSTPV_0478,500.25,500.25,1.0,-90.0,-524.1414453737265,10.051040349380369,40.454907925767706
267,CAP30_POSTPV_0479,462.55,416.295,0.9,-45.0,-128.2564728566385,11.095934639728524,41.93806920286919
268,CAP30_POSTPV_0484,420.0,336.0,0.8,75.0,-487.0272292002495,9.344675277817531,40.25583618799501
269,CAP30_POSTPV_0485,476.0999999999999,380.88,0.8000000000000002,40.0,-396.3035896650835,9.789414973425965,40.82625379345292
270,CAP30_POSTPV_0491,742.716,742.716,1.0,85.0,-487.0272292002495,9.831838387364874,40.69614882114106
271,CAP30_POSTPV_0499,396.0,237.6,0.6,15.0,-515.8938417796205,10.089811720428743,40.8368153886866
272,CAP30_POSTPV_0500,396.0,396.0,1.0,-45.0,-371.5607788827655,10.13794575331172,41.12109204629071
273,CAP30_POSTPV_0502,414.7,373.23,0.9,-15.0,-466.40822021498445,10.376138346066474,40.69196335038776
