object_uid,tracer,source_catalog,display_label,candidate_id,ra_deg,dec_deg,x_arcmin,y_arcmin,major_arcsec,minor_arcsec,pa_deg,v_center_kms,Maj_pc,Min_pc,PA_astro_deg,v9_final_score,v9_reject_reason,marker_size,validation_png,notes
Potential_new_HI_Candidate_0175,Potential new HI Candidate,2DCGSeed v9 rejected/potential candidates,Potential H I cand. 0175,175,11.374556632216912,41.90675281709613,31.110393639271763,38.280169025767776,95.36019565217391,85.82417608695653,45.0,-58.15184230673751,319.0,287.1,45.0,0.1186268757332715,foreground_confusion_velocity;background_gradient_dominates;low_v9_final_score,8.0,,Rejected/potential v9 candidate. foreground_confusion_velocity;background_gradient_dominates;low_v9_final_score
Potential_new_HI_Candidate_0249,Potential new HI Candidate,2DCGSeed v9 rejected/potential candidates,Potential H I cand. 0249,249,11.449437916086293,41.94128989600407,34.487347831367984,40.352393760244496,107.61652173913043,102.23569565217392,75.0,-62.275644103790505,360.0,342.0,75.0,0.11857485399687,foreground_confusion_velocity;background_gradient_dominates;low_v9_final_score,8.0,,Rejected/potential v9 candidate. foreground_confusion_velocity;background_gradient_dominates;low_v9_final_score
Potential_new_HI_Candidate_0137,Potential new HI Candidate,2DCGSeed v9 rejected/potential candidates,Potential H I cand. 0137,137,11.397326677182496,42.00704336176432,32.13726437154819,44.29760170585922,95.36019565217391,90.59218586956523,70.0,-45.780436915578505,319.0,303.05,70.0,0.1180606412316001,foreground_confusion_velocity;background_gradient_dominates;low_v9_final_score,8.0,,Rejected/potential v9 candidate. foreground_confusion_velocity;background_gradient_dominates;low_v9_final_score
Potential_new_HI_Candidate_0316,Potential new HI Candidate,2DCGSeed v9 rejected/potential candidates,Potential H I cand. 0316,316,11.391169821722526,41.75497437671948,31.859605953031426,29.173462603169042,125.55260869565218,125.55260869565218,-90.0,-99.3898602772675,420.0,420.0,-90.0,0.117743947700586,foreground_confusion_velocity;background_gradient_dominates;low_v9_final_score,8.0,,Rejected/potential v9 candidate. foreground_confusion_velocity;background_gradient_dominates;low_v9_final_score
Potential_new_HI_Candidate_0311,Potential new HI Candidate,2DCGSeed v9 rejected/potential candidates,Potential H I cand. 0311,311,11.646671334973972,42.10416180331588,43.382070067915635,50.12470819895313,125.55260869565218,125.55260869565218,-90.0,-41.6566351185255,420.0,420.0,-90.0,0.117719725030107,foreground_confusion_velocity;background_gradient_dominates;low_v9_final_score,8.0,,Rejected/potential v9 candidate. foreground_confusion_velocity;background_gradient_dominates;low_v9_final_score
Potential_new_HI_Candidate_0218,Potential new HI Candidate,2DCGSeed v9 rejected/potential candidates,Potential H I cand. 0218,218,11.149252638660354,41.8496683207862,20.94976035119922,34.855099247172205,95.36019565217391,85.82417608695653,45.0,-103.51366207432052,319.0,287.1,45.0,0.1176100848954189,foreground_confusion_velocity;background_gradient_dominates;low_v9_final_score,8.0,,Rejected/potential v9 candidate. foreground_confusion_velocity;background_gradient_dominates;low_v9_final_score
Potential_new_HI_Candidate_0239,Potential new HI Candidate,2DCGSeed v9 rejected/potential candidates,Potential H I cand. 0239,239,11.426905243606202,42.17077111566949,33.47118199046833,54.12126694016948,114.4322347826087,91.54578782608696,-45.0,-78.7708512920025,382.8,306.24,-45.0,0.1174535390061502,foreground_confusion_velocity;background_gradient_dominates;low_v9_final_score,8.0,,Rejected/potential v9 candidate. foreground_confusion_velocity;background_gradient_dominates;low_v9_final_score
Potential_new_HI_Candidate_0228,Potential new HI Candidate,2DCGSeed v9 rejected/potential candidates,Potential H I cand. 0228,228,11.339530736196313,41.7669436337088,29.530815401737637,29.891618022528093,107.61652173913043,107.61652173913043,-90.0,-103.51366207432052,360.0,360.0,-90.0,0.1173499560917676,foreground_confusion_velocity;background_gradient_dominates;low_v9_final_score,8.0,,Rejected/potential v9 candidate. foreground_confusion_velocity;background_gradient_dominates;low_v9_final_score
Potential_new_HI_Candidate_0325,Potential new HI Candidate,2DCGSeed v9 rejected/potential candidates,Potential H I cand. 0325,325,11.459012498512609,41.97623075261234,34.91913698603203,42.44884515674045,125.55260869565218,112.99734782608697,30.0,-37.5328333214725,420.0,378.0,30.0,0.1169879861310362,foreground_confusion_velocity;background_gradient_dominates;low_v9_final_score,8.0,,Rejected/potential v9 candidate. foreground_confusion_velocity;background_gradient_dominates;low_v9_final_score
Potential_new_HI_Candidate_0207,Potential new HI Candidate,2DCGSeed v9 rejected/potential candidates,Potential H I cand. 0207,207,11.27237204079034,41.6318781964783,26.502130178037216,21.787691788697998,95.36019565217391,76.28815652173913,40.0,-132.3802746536915,319.0,255.2,40.0,0.1169075388557944,foreground_confusion_velocity;low_v9_final_score,8.0,,Rejected/potential v9 candidate. foreground_confusion_velocity;low_v9_final_score
