Seq,tracer,source_catalog,object_label,ra_deg,dec_deg,x_arcmin,y_arcmin,HRV,Maj,Min,PA,source_candidate_id,new_candidate_id,candidate_id,cap30_postpv_id,postpv_class_final,science_tier_postpv,bb86_relation,bb86_primary_flag,origin,is_bb86,is_new,foreground_review_flag,has_video,video_path,video_name,contrast_joint_refit_png,summary_2dcg_png
52,HI,CAP30 final science catalogue — 616 H I cavities,CAP30_POSTPV_0079,10.423492534126629,41.36403841475924,-11.780162278553131,5.717304885554739,-289.0847429417055,435.0,435.0,-90.0,2879,475,475,CAP30_POSTPV_0079,postpv_keep_not_DF,science_keep_strong,,,,,,,False,,,,
53,HI,CAP30 final science catalogue — 616 H I cavities,CAP30_POSTPV_0080,10.09961301988062,40.74547163214695,-26.386299177527665,-31.396702071182716,-581.8746705324686,345.0,345.0,-90.0,2959,481,481,CAP30_POSTPV_0080,postpv_keep_not_DF,science_keep_strong,,,,,,,False,,,,
54,HI,CAP30 final science catalogue — 616 H I cavities,CAP30_POSTPV_0081,10.743992238793105,40.936538449352255,2.6735538613436054,-19.9326930388645,-367.4369770857125,420.0,378.0,45.0,3024,487,487,CAP30_POSTPV_0081,postpv_keep_not_DF,science_keep_strong,,,,,,,False,,,,
55,HI,CAP30 final science catalogue — 616 H I cavities,CAP30_POSTPV_0083,9.421726512351407,39.80253540214014,-56.957245147943915,-87.97287587159161,-495.2748327943555,420.0,420.0,-90.0,3243,499,499,CAP30_POSTPV_0083,postpv_keep_not_DF,science_keep_strong,,,,,,,False,,,,
56,HI,CAP30 final science catalogue — 616 H I cavities,CAP30_POSTPV_0084,10.094268275124584,40.60390556631595,-26.627333482455747,-39.89066602104273,-569.5032651413095,462.55,277.53,-5.0,3343,505,505,CAP30_POSTPV_0084,postpv_keep_not_DF,science_keep_strong,,,,,,,False,,,,
57,HI,CAP30 final science catalogue — 616 H I cavities,CAP30_POSTPV_0086,11.032944929322658,41.85743513815376,15.70458043005684,35.32110828922583,-165.3706890301155,531.9325,425.5460000000001,70.0,3468,517,517,CAP30_POSTPV_0086,postpv_keep_not_DF,science_keep_strong,,,,,,,False,,,,
58,HI,CAP30 final science catalogue — 616 H I cavities,CAP30_POSTPV_0087,10.78484377954699,41.68318279506381,4.515853761583819,24.865967703828602,-227.2277159859105,720.0,576.0,-90.0,3575,523,523,CAP30_POSTPV_0087,postpv_keep_not_DF,science_review_large_diffuse_BB86,,,,,,,False,,,,
59,HI,CAP30 final science catalogue — 616 H I cavities,CAP30_POSTPV_0090,10.582080919833086,41.601095339277904,-4.628232099800158,19.940720356674433,-276.7133375505465,483.0,434.69999999999993,45.0,3813,541,541,CAP30_POSTPV_0090,postpv_keep_not_DF,science_keep_strong,,,,,,,False,,,,
60,HI,CAP30 final science catalogue — 616 H I cavities,CAP30_POSTPV_0092,10.720350107504384,41.07543858948487,1.6073542686015572,-11.59868463090774,-367.4369770857125,579.5999999999999,289.79999999999995,60.0,3988,553,553,CAP30_POSTPV_0092,postpv_keep_not_DF,science_review_large_diffuse_BB86,,,,,,,False,,,,
61,HI,CAP30 final science catalogue — 616 H I cavities,CAP30_POSTPV_0093,10.360696772236423,40.7408122068609,-14.612090370636997,-31.676267588345723,-482.9034274031965,579.5999999999999,347.75999999999993,10.0,4131,559,559,CAP30_POSTPV_0093,postpv_keep_review_DF_second_pass,science_review_visual_DF,,,,,,,False,,,,
62,HI,CAP30 final science catalogue — 616 H I cavities,CAP30_POSTPV_0097,10.350332553879516,41.15968183123789,-15.079490084151638,-6.544090125726427,-388.0559860709775,690.0,690.0,-90.0,4599,589,589,CAP30_POSTPV_0097,postpv_keep_review_DF_second_pass,science_review_visual_DF,,,,,,,False,,,,
63,HI,CAP30 final science catalogue — 616 H I cavities,CAP30_POSTPV_0098,10.617227033555302,41.737791176817154,-3.043232351703404,28.14247060902943,-247.84672497117552,604.8,483.84,-90.0,4707,595,595,CAP30_POSTPV_0098,postpv_keep_review_DF_visual,science_review_visual_DF,,,,,,,False,,,,
64,HI,CAP30 final science catalogue — 616 H I cavities,CAP30_POSTPV_0099,10.512792753494908,40.76141993440125,-7.7529510106900466,-30.43980393592463,-412.7987968532954,600.0,600.0,15.0,4777,601,601,CAP30_POSTPV_0099,postpv_keep_DF_visual,science_keep_strong,,,,,,,False,,,,
65,HI,CAP30 final science catalogue — 616 H I cavities,CAP30_POSTPV_0100,9.36723944948888,40.00324326700834,-59.41447218573862,-75.93040397949963,-507.64623818551456,600.0,600.0,15.0,4824,607,607,CAP30_POSTPV_0100,postpv_keep_DF_visual,science_keep_strong,,,,,,,False,,,,
66,HI,CAP30 final science catalogue — 616 H I cavities,CAP30_POSTPV_0101,10.59659692910654,40.75762596114655,-3.9735972453283193,-30.66744233120673,-404.5511932591895,720.0,720.0,-90.0,4963,619,619,CAP30_POSTPV_0101,postpv_keep_review_DF_visual,science_review_visual_DF,,,,,,,False,,,,
67,HI,CAP30 final science catalogue — 616 H I cavities,CAP30_POSTPV_0105,11.625421448634691,41.8955549558,42.423754597788616,37.608297348000264,-124.1326710595855,720.0,504.0,0.0,5222,643,643,CAP30_POSTPV_0105,postpv_keep_review_DF_visual,science_review_visual_DF,,,,,,,False,,,,
68,HI,CAP30 final science catalogue — 616 H I cavities,CAP30_POSTPV_0106,10.110274322665536,40.48689184932957,-25.905501716902776,-46.91148904022583,-499.3986345914085,720.0,720.0,-90.0,5325,649,649,CAP30_POSTPV_0106,postpv_keep_not_DF,science_review_large_diffuse_BB86,,,,,,,False,,,,
69,HI,CAP30 final science catalogue — 616 H I cavities,CAP30_POSTPV_0108,10.45703720447792,41.29702567959018,-10.267383526483671,1.6965407754108242,-330.3227609122355,420.0,420.0,-90.0,6342,1129,1129,CAP30_POSTPV_0108,postpv_keep_review_DF_visual,science_review_visual_DF,,,,,,,False,,,,
70,HI,CAP30 final science catalogue — 616 H I cavities,CAP30_POSTPV_0112,9.376563476420811,40.31066579083112,-58.993982442401304,-57.48505255013242,-482.9034274031965,319.0,287.1,25.0,6845,1171,1171,CAP30_POSTPV_0112,postpv_keep_review_DF_visual,science_review_visual_DF,,,,,,,False,,,,
71,HI,CAP30 final science catalogue — 616 H I cavities,CAP30_POSTPV_0114,10.16937853520493,40.85081188009418,-23.24005304946793,-25.07628719434919,-573.6270669383625,483.0,483.0,-90.0,6923,1183,1183,CAP30_POSTPV_0114,postpv_keep_not_DF,science_keep_strong,,,,,,,False,,,,
72,HI,CAP30 final science catalogue — 616 H I cavities,CAP30_POSTPV_0115,11.105368981985176,41.89636577432128,18.970719785705544,37.656946459277094,-120.0088692625325,600.0,540.0,-15.0,6992,1141,1141,CAP30_POSTPV_0115,postpv_keep_DF_visual,science_keep_strong,,,,,,,False,,,,
73,HI,CAP30 final science catalogue — 616 H I cavities,CAP30_POSTPV_0118,11.374820353246731,42.17220066183149,31.122286782540318,54.20703970988953,-115.8850674654795,690.0,690.0,-90.0,8612,1063,1063,CAP30_POSTPV_0118,postpv_keep_review_DF_second_pass,science_review_visual_DF,,,,,,,False,,,,
74,HI,CAP30 final science catalogue — 616 H I cavities,CAP30_POSTPV_0137,11.026819901596856,41.337161099159154,15.428357360865935,4.1046659495494,-268.4657339564405,690.3449999999999,552.276,15.0,13221,691,691,CAP30_POSTPV_0137,postpv_keep_not_DF,science_review_large_diffuse_BB86,,,,,,,False,,,,
75,HI,CAP30 final science catalogue — 616 H I cavities,CAP30_POSTPV_0140,10.415431051430108,41.299714026725766,-12.143714509228202,1.8578416035461487,-305.5799501299175,288.0,288.0,-90.0,13773,709,709,CAP30_POSTPV_0140,postpv_keep_DF_visual,science_keep_strong,,,,,,,False,,,,
76,HI,CAP30 final science catalogue — 616 H I cavities,CAP30_POSTPV_0141,10.602657039453511,41.63277897557995,-3.700301783721771,21.841738534797344,-260.21813036233453,365.4,292.32,-60.0,14043,703,703,CAP30_POSTPV_0141,postpv_keep_not_DF,science_keep_strong,,,,,,,False,,,,
77,HI,CAP30 final science catalogue — 616 H I cavities,CAP30_POSTPV_0142,10.876193626395503,41.69598538512465,8.635497981366994,25.634123107479212,-177.74209442127452,360.0,360.0,-90.0,14128,715,715,CAP30_POSTPV_0142,postpv_keep_review_DF_visual,science_review_visual_DF,,,,,,,False,,,,
78,HI,CAP30 final science catalogue — 616 H I cavities,CAP30_POSTPV_0143,10.909897628292264,41.27953080658936,10.15546217821784,0.6468483953615589,-297.3323465358115,478.5,478.5,-25.0,14298,931,931,CAP30_POSTPV_0143,postpv_keep_review_DF_visual,science_review_visual_DF,,,,,,,False,,,,
79,HI,CAP30 final science catalogue — 616 H I cavities,CAP30_POSTPV_0146,10.999155772237128,41.85003067490482,14.180775952206014,34.876840494289496,-157.1230854360095,462.55,370.04,-20.0,14414,739,739,CAP30_POSTPV_0146,postpv_keep_DF_visual,science_keep_strong,,,,,,,False,,,,
80,HI,CAP30 final science catalogue — 616 H I cavities,CAP30_POSTPV_0156,11.009406848757555,41.25790514287605,14.64307325856019,-0.6506914274369535,-264.3419321593875,476.905,238.4525,50.0,15296,985,985,CAP30_POSTPV_0156,postpv_keep_review_DF_visual,science_review_visual_DF,,,,,,,False,,,,
81,HI,CAP30 final science catalogue — 616 H I cavities,CAP30_POSTPV_0160,10.522917066324553,41.41866484242897,-7.296370422250901,8.994890545738201,-305.5799501299175,514.8000000000001,514.8000000000001,-45.0,15645,961,961,CAP30_POSTPV_0160,postpv_keep_not_DF,science_keep_strong,,,,,,,False,,,,
82,HI,CAP30 final science catalogue — 616 H I cavities,CAP30_POSTPV_0161,11.233842431983703,41.493450862015294,24.764543464027817,13.48205172091781,-181.86589621832752,475.2000000000001,427.68000000000006,45.0,15738,955,955,CAP30_POSTPV_0161,postpv_keep_review_DF_visual,science_review_visual_DF,,,,,,,False,,,,
83,HI,CAP30 final science catalogue — 616 H I cavities,CAP30_POSTPV_0164,9.996726543709409,40.58919241496964,-31.026215843786225,-40.773455101821554,-544.7604543589915,440.22,440.22,-90.0,15995,1081,1081,CAP30_POSTPV_0164,postpv_keep_not_DF,science_keep_strong,,,,,,,False,,,,
