object_uid,tracer,source_catalog,display_label,hi_seq,ra_deg,dec_deg,x_arcmin,y_arcmin,major_arcsec,minor_arcsec,pa_deg,marker_size,has_video,notes,source_candidate_id,new_candidate_id,candidate_id,cap30_postpv_id,postpv_class_final,science_tier_postpv,bb86_relation,bb86_primary_flag,origin,is_bb86,is_new,foreground_review_flag,Maj_pc,PA_astro_deg,age_myr,mass_msun,luminosity,v9_final_score,v9_reject_reason,validation_png,e_bv,Min_pc,fuv_mag,v_center_kms,area_pc2,area_arcsec2,flux,nuv_mag,video_url,video_path,video_name,video_release_tag,v11_source_candidate_id,v11_match_sep_arcsec,v11_diagnostic_png,v11_plot_class,v11_passes_2dcg,v11_joint_2dcg_score,v11_final_Maj_pc,v11_final_Min_pc,v11_final_PA_astro_deg,v11_final_v_center_kms,flux_erg_cm2_s,luminosity_erg_s_at_690kpc,count_rate,detection_likelihood,hardness_hr1,hardness_hr2,hardness_hr3,hardness_hr4,source_class,band
UV_Kang2009_4284,UV,Kang+2009 GALEX SF regions,UV SF 4284,,10.796028,41.823929,5.020233470270493,33.31074000000015,,,,5.809475019311125,False,"GALEX FUV-defined star-forming region, not a cavity.",,,,,,,,,,,,,,,48.8,7200.0,,,,,0.16,,19.321,,1954.533375,135.0,,19.271,,,,,,,,,,,,,,,,,,,,,,,,
UV_Kang2009_4285,UV,Kang+2009 GALEX SF regions,UV SF 4285,,11.352559,41.824921,30.11835674443603,33.37026000000037,,,,6.363961030678928,False,"GALEX FUV-defined star-forming region, not a cavity.",,,,,,,,,,,,,,,161.6,160000.0,,,,,0.19,,18.57,,2345.44005,162.0,,18.245,,,,,,,,,,,,,,,,,,,,,,,,
UV_Kang2009_4286,UV,Kang+2009 GALEX SF regions,UV SF 4286,,11.514704,41.827942,37.43068112221479,33.55152000000018,,,,5.953990258641679,False,"GALEX FUV-defined star-forming region, not a cavity.",,,,,,,,,,,,,,,18.8,2700.0,,,,,0.21,,19.526,,2052.9839450000004,141.8,,19.58,,,,,,,,,,,,,,,,,,,,,,,,
UV_Kang2009_4287,UV,Kang+2009 GALEX SF regions,UV SF 4287,,11.067831,41.830013,17.27785290258967,33.67578000000023,,,,6.228964600958975,False,"GALEX FUV-defined star-forming region, not a cavity.",,,,,,,,,,,,,,,88.1,28000.0,,,,,0.27,,19.632,,2246.98948,155.2,,19.453,,,,,,,,,,,,,,,,,,,,,,,,
UV_Kang2009_4288,UV,Kang+2009 GALEX SF regions,UV SF 4288,,11.352191,41.83004,30.10176088658644,33.67739999999998,,,,6.093028803476971,False,"GALEX FUV-defined star-forming region, not a cavity.",,,,,,,,,,,,,,,83.3,14000.0,,,,,0.16,,19.281,,2149.9867125,148.5,,19.134,,,,,,,,,,,,,,,,,,,,,,,,
UV_Kang2009_4289,UV,Kang+2009 GALEX SF regions,UV SF 4289,,10.64378,41.828655,-1.8457615457217167,33.59430000000003,,,,6.996427659884722,False,"GALEX FUV-defined star-forming region, not a cavity.",,,,,,,,,,,,,,,46.9,25000.0,,,,,0.2,,18.282,,2834.7972950000003,195.8,,18.236,,,,,,,,,,,,,,,,,,,,,,,,
UV_Kang2009_4290,UV,Kang+2009 GALEX SF regions,UV SF 4290,,11.364936,41.833477,30.67652775694812,33.88362000000029,,,,11.811011811017716,False,"GALEX FUV-defined star-forming region, not a cavity.",,,,,,,,,,,,,,,203.9,2000000.0,,,,,0.38,,17.377,,8078.737950000001,558.0,,16.909,,,,,,,,,,,,,,,,,,,,,,,,
UV_Kang2009_4291,UV,Kang+2009 GALEX SF regions,UV SF 4291,,11.385494,41.831707,31.60364092453497,33.77742000000026,,,,6.0,False,"GALEX FUV-defined star-forming region, not a cavity.",,,,,,,,,,,,,,,16.3,20000.0,,,,,0.42,,19.085,,2084.8356,144.0,,19.102,,,,,,,,,,,,,,,,,,,,,,,,
UV_Kang2009_4292,UV,Kang+2009 GALEX SF regions,UV SF 4292,,11.12067,41.833038,19.66075652464064,33.85728000000029,,,,5.511351921262151,False,"GALEX FUV-defined star-forming region, not a cavity.",,,,,,,,,,,,,,,3.1,1300.0,,,,,0.57,,20.457,,1759.0800375,121.5,,20.577,,,,,,,,,,,,,,,,,,,,,,,,
UV_Kang2009_4293,UV,Kang+2009 GALEX SF regions,UV SF 4293,,11.1087,41.837337,19.120940170130726,34.11522000000005,,,,12.749509794497984,False,"GALEX FUV-defined star-forming region, not a cavity.",,,,,,,,,,,,,,,169.5,900000.0,,,,,0.37,,18.16,,9413.611855,650.2,,17.772,,,,,,,,,,,,,,,,,,,,,,,,
